timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 17:05:02.631, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:05:12.635, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:05:22.639, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:05:32.643, 17 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:05:42.647, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:05:52.651, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:06:02.654, 10 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:06:12.658, 8 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 38
2025/08/22 17:06:22.662, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:06:32.666, 2 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:06:42.669, 13 %, 0 %, 1144 MiB, 81920 MiB, 65.79 W, 38
2025/08/22 17:06:52.673, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:07:02.677, 15 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:07:12.681, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:07:22.686, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:07:32.689, 2 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:07:42.694, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:07:52.698, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:08:02.702, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:08:12.706, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:08:22.710, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:08:32.713, 13 %, 0 %, 1144 MiB, 81920 MiB, 65.79 W, 38
2025/08/22 17:08:42.717, 14 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:08:52.721, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:09:02.725, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:09:12.729, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:09:22.734, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:09:32.738, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:09:42.742, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:09:52.746, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:10:02.750, 12 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:10:12.755, 12 %, 0 %, 1144 MiB, 81920 MiB, 65.79 W, 38
2025/08/22 17:10:22.763, 1 %, 0 %, 1144 MiB, 81920 MiB, 65.13 W, 38
